TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,Sha256 hash
TEAM BEVEL,1,adewale-the-amebo,adewale the amebo,Adewale likes to be in everyone's business. ,Male,hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity;,cad316c3-37f8-4b27-9f53-9d803bfcfee7,5feb6b2d2e787ea0c7f98227213fcea4ac9453a981dc10f3b640dd43df3b35c6
,2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none: strength: powerful; weakness: none;,a57ecda4-a26f-4e97-a757-e1800af39aab,da0682aaf7ecf72ba4d7dfc9754c93f074cf036c20570d8fd22255ddcc7e8512
,3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,Female,hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude;,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,909b9af6321623ac1d8b9ce18ca9248202d7a602ec039399ef6bd10db0eea0e4
,4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none;,4f30b751-96e7-40fe-97fd-e3d44973ff2f,6bf4acfe463ee4fee31f5c1d8cf977d89fd16d23fc67e683b40e9a4e68c28047
,5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none;,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,2147e24617874df6ea7f42f5f252b2b46ef843dbbc0d1121d967c6c5cdc4289e
,6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",Female,hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none;,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,4de2685a7e8ff5e9661a769556b84132504cef4115689ba5610152c34ff1e180
,7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,Female,hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none;,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,aebbafad0c77cf865c14472c46a2ba91896e85715e11538ee9616e6b194f42a5
,8,damilare-the-handsome,damilare the handsome,"He's a fine boy, proper eye candy. ",Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,27eca2dc-d7df-474a-8f8f-1858152c711e,0b5bca7c73541424c736c02d7a9ed6f735fa4683c960ada73f141fbfb57e83f2
,9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,Male,hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none;,f1df8270-4d60-4bd4-8959-ba7c384db5c4,b72c54703af3366829ebdc19065c699f3bf740ccd3d90c3feb9696570116e1eb
,10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,Male,hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none;,9b3d75da-4887-4089-aee4-50de3954fdc9,c8ed4e56c8e462799a383b62a4038ad9f8555942ca827a8f45b0748de3c2d2f2
,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,a9e8dabb1bf442997b698bf4a9d1282df86e175a9d9cf7aa62fecd71ff74acce
,12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,Male,hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none;,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,5b0b6c2a41c37a76c140938f284b196663b36c340a367e0c1a6badd513afdb8a
,13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him still.,Male,hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none;,dfbb4163-df24-4d54-b74c-6218a68df8bd,0c9ccc743fcdcedfdb78691851bfd3bc8163532a8f38c42794cd48eb71ed4d24
,14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none;,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,78cbf2f39202ac0f78f863175f0a1f4cb623fc8886243351e9de8dbc78262c79
,15,nina-paper-chaser,nina paper chaser,Nina loves money. It's all she dreams of. ,Female,hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none;,59524227-dc52-407c-8cca-e9e8c5fb3018,b2b1d25466c131175538f32631db833b5947c67b31b55127461069e8e970cc0d
,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none;,808f7007-6552-4efa-bd13-4b7c337b102b,3564ad5ca534b76b3a3f309ef22d0436ee6549c7b9b03b1771b4ac0948a49df6
,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none;,ba3edda7-8940-4ca4-97ba-826398d5909f,4cca18334f4bfc7d97a10e75eff504a68ad22c7832f9e8faf43e0cc3209b1b57
,18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,bb914b06bac0b20c3a0921f889fbc647d6fb9df02449c9711a98279230d89395
,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity;,53b46bd7-a537-402b-b249-0b4074a8faae,0b008ef071229ce2f3ad4813d41ab6ddd5bf44e1f6ac617157723ba2e1e097b7
,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things;,4adb6781-1614-424e-8f77-fe59ffca2209,f9c4f888de01df0106cad493c7e3fb7de873dfa816cf9ac0072b8da15564b7d3
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothings: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation;,770f817a-9d9a-4772-9a91-e66dd9d03470,f56b36f276c6fe63fd7ee69dc82c55ad6855c2033c50391bb7c0451c5df25f23
,22,emeka-the -clown,emeka the clown,"Emeka the funny man, always making silly joke.",Male,hair: none; eyes: black; teeth: none; clothings: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique;,78810fa6-a7ef-4d83-bf57-caf49db4ee69,749593e22b4119a6da52cc62f9b613d03648b57ab04b1ec989b2171ab825cf34
